week_id,week_number,quarter,fiscal_year,category,raw_model,canonical_model,capacity,partner,price_vnd,stock_status,price_change_note,source_sheet,source_row,source_url,mapping_status,import_batch_id
W4Q3FY24,4,3,24,AirPods,AirPods 2,AirPods 2,,FPT,2650000,In stock,,W4Q3FY24,35,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods 2,AirPods 2,,Viettel,2790000,In stock,,W4Q3FY24,26,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods 3,AirPods 3,,CPS,3890000,In stock,,W4Q3FY24,34,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods 3,AirPods 3,,FPT,3890000,In stock,,W4Q3FY24,34,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods 3,AirPods 3,,MW,4390000,In stock,,W4Q3FY24,31,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods 3,AirPods 3,,Shopdunk,3950000,In stock,,W4Q3FY24,33,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods 3 (Lightning),AirPods 3 (Lightning),,Viettel,3790000,In stock,,W4Q3FY24,25,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods Pro,AirPods Pro,,CPS,4450000,In stock,,W4Q3FY24,32,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods Pro,AirPods Pro,,FPT,,OOS,,W4Q3FY24,32,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods Pro,AirPods Pro,,MW,,OOS,,W4Q3FY24,29,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods Pro,AirPods Pro,,Shopdunk,4850000,In stock,,W4Q3FY24,31,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods Pro 2,AirPods Pro 2,,CPS,5390000,In stock,,W4Q3FY24,33,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods Pro 2,AirPods Pro 2,,FPT,5500000,In stock,,W4Q3FY24,33,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods Pro 2,AirPods Pro 2,,MW,6190000,In stock,,W4Q3FY24,30,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods Pro 2,AirPods Pro 2,,Shopdunk,4990000,In stock,,W4Q3FY24,32,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods Pro Gen 2 (Lightning),AirPods Pro Gen 2 (Lightning),,Viettel,5390000,In stock,,W4Q3FY24,24,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods with charging case,AirPods with charging case,,CPS,2650000,In stock,,W4Q3FY24,35,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods with charging case,AirPods with charging case,,MW,2790000,In stock,,W4Q3FY24,32,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,AirPods,AirPods with charging case,AirPods with charging case,,Shopdunk,2750000,In stock,,W4Q3FY24,34,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch S3 (38mm GPS),Apple Watch S3 (38mm GPS),,FPT,,OOS,,W4Q3FY24,28,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch S8 (41mm GPS),Apple Watch S8 (41mm GPS),,CPS,,OOS,,W4Q3FY24,30,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch S8 (41mm GPS),Apple Watch S8 (41mm GPS),,FPT,,OOS,,W4Q3FY24,30,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch S8 (41mm GPS),Apple Watch S8 (41mm GPS),,MW,,In stock,,W4Q3FY24,26,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch S8 (41mm GPS),Apple Watch S8 (41mm GPS),,Shopdunk,,In stock,,W4Q3FY24,29,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch S8 (41mm GPS),Apple Watch S8 (41mm GPS),,Viettel,6990000,In stock,,W4Q3FY24,17,,Auto-normalized,price_check_62813eb26afe
