raw_model,canonical_model,category,capacity,mapping_status
iPhone 15 128Gb,iPhone 15 128GB,iPhone,128GB,Auto-normalized
iPhone 15 128 GB,iPhone 15 128GB,iPhone,128GB,Auto-normalized
iPhone 15 128 Gb,iPhone 15 128GB,iPhone,128GB,Auto-normalized
iPhone 15 Plus 128Gb,iPhone 15 Plus 128GB,iPhone,128GB,Auto-normalized
iPhone 15 Plus 128 GB,iPhone 15 Plus 128GB,iPhone,128GB,Auto-normalized
iPhone 15 Plus 128 Gb,iPhone 15 Plus 128GB,iPhone,128GB,Auto-normalized
iPhone 15 Pro 128Gb,iPhone 15 Pro 128GB,iPhone,128GB,Auto-normalized
iPhone 15 Pro 128 GB,iPhone 15 Pro 128GB,iPhone,128GB,Auto-normalized
iPhone 15 Pro 128 Gb,iPhone 15 Pro 128GB,iPhone,128GB,Auto-normalized
iPhone 15 Pro Max 1256Gb,iPhone 15 Pro Max 256GB,iPhone,256GB,Auto-normalized
iPhone 15 Pro Max 256Gb,iPhone 15 Pro Max 256GB,iPhone,256GB,Auto-normalized
iPhone 15 Pro Max 256 GB,iPhone 15 Pro Max 256GB,iPhone,256GB,Auto-normalized
iPhone 15 Pro Max 256 Gb,iPhone 15 Pro Max 256GB,iPhone,256GB,Auto-normalized
iPhone 14 128 Gb,iPhone 14 128GB,iPhone,128GB,Auto-normalized
iPhone 14 Pro Max 128Gb,iPhone 14 Pro Max 128GB,iPhone,128GB,Auto-normalized
iPhone 14 128 GB,iPhone 14 128GB,iPhone,128GB,Auto-normalized
iPhone 14 Pro 128Gb,iPhone 14 Pro 128GB,iPhone,128GB,Auto-normalized
iPhone 14 Plus 128GB,iPhone 14 Plus 128GB,iPhone,128GB,Mapped
iPhone 14 Plus 128Gb,iPhone 14 Plus 128GB,iPhone,128GB,Auto-normalized
iPhone 13 128GB,iPhone 13 128GB,iPhone,128GB,Mapped
iPhone 14 Pro 128GB,iPhone 14 Pro 128GB,iPhone,128GB,Mapped
iPhone 14 Pro Max 256Gb,iPhone 14 Pro Max 256GB,iPhone,256GB,Auto-normalized
iPhone 12 64GB,iPhone 12 64GB,iPhone,64GB,Mapped
iPhone 14 128Gb,iPhone 14 128GB,iPhone,128GB,Auto-normalized
iPhone 14 Pro Max 128GB,iPhone 14 Pro Max 128GB,iPhone,128GB,Mapped
iPhone 14 128,iPhone 14 128GB,iPhone,128GB,Auto-normalized
iPhone 11 64GB,iPhone 11 64GB,iPhone,64GB,Mapped
MacBook Air M3 13' 256Gb,"MacBook Air 13"" M3 8/256GB",MacBook,256GB,Auto-normalized
MacBook Air M3 15' 256Gb,"MacBook Air 15"" M3 8/256GB",MacBook,256GB,Auto-normalized
iPad Pro M2 (Wi-fi 11” 128GB),"iPad Pro 11"" M2 128GB Wifi",iPad,128GB,Auto-normalized
MacBook Pro M3 14',MacBook Pro M3 14',MacBook,,Mapped
iPad Air 5 (Wi-fi 64GB),iPad Air 5 64GB Wifi,iPad,64GB,Auto-normalized
MacBook Pro M3 Max 14',MacBook Pro M3 Max 14',MacBook,,Mapped
iPad Mini 6 (Wi-fi 64GB),iPad Mini 6 64GB Wifi,iPad,64GB,Auto-normalized
MacBook Air M1,"MacBook Air 13"" M1 8/256GB",MacBook,256GB,Auto-normalized
iPad 10th (Wi-fi 64GB),iPad Gen 10th 64GB Wifi,iPad,64GB,Auto-normalized
MacBook Air M2,"MacBook Air 13"" M2 8/256GB",MacBook,256GB,Auto-normalized
iPad 9th (Wi-fi 64GB),iPad 9th (Wi-fi 64GB),iPad,64GB,Mapped
Watch S8 (41mm GPS),Apple Watch S8 (41mm GPS),Apple Watch,,Auto-normalized
Watch S9 (41mm GPS),Apple Watch S9 (41mm GPS),Apple Watch,,Auto-normalized
MacBook Pro M2,MacBook Pro M2,MacBook,,Mapped
iPad Pro M1 (Wi-fi 11” 128GB),"iPad Pro 11"" M1 128GB Wifi",iPad,128GB,Auto-normalized
