model,retailer,value,final_price,html_price,rendered_price,previous_week_price,base_value,discount,promo_note,source_method,availability,availability_method,availability_text,risk_flags,confidence,decision_note,status,error,fetched_at,url
iPhone 17e 256GB,Viettel,,,,,17290000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:27:42,https://viettelstore.vn/dien-thoai/iphone-17e-256gb-pid363671.html
iPhone 17e 256GB,FPT,21490000,21490000,21490000,21490000,17490000,21490000,0,,fpt_structured_offer_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:27:44,https://fptshop.com.vn/dien-thoai/iphone-17e
iPhone 17e 256GB,MW,17590000,17590000,17590000,,17590000,17990000,400000,"Giảm giá 400,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:27:46,https://www.thegioididong.com/dtdd/iphone-17e-256gb
iPhone 17e 256GB,CPS,17490000,17490000,17490000,,17490000,17490000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:27:48,https://cellphones.com.vn/iphone-17e.html
iPhone 17e 256GB,Shopdunk,17290000,17290000,17290000,,17290000,17290000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:27:49,https://shopdunk.com/iphone-17e
iPhone 17  256GB,Viettel,,,,,23590000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:27:50,https://viettelstore.vn/dien-thoai/iphone-17-256gb-pid355077.html
iPhone 17  256GB,FPT,28490000,28490000,28490000,28490000,24490000,28490000,0,,fpt_structured_offer_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:27:51,https://fptshop.com.vn/dien-thoai/iphone-17
iPhone 17  256GB,MW,24590000,24590000,24590000,,24590000,24990000,400000,"Giảm giá 400,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:27:52,https://www.thegioididong.com/dtdd/iphone-17
iPhone 17  256GB,CPS,28490000,28490000,28490000,28490000,24590000,28490000,0,,cps_sale_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_dom:.sale-price,OK,,2026-09-10T15:27:56,https://cellphones.com.vn/iphone-17-256gb.html
iPhone 17  256GB,Shopdunk,23990000,23990000,23990000,,23990000,23990000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:27:57,https://shopdunk.com/dien-thoai-iphone-17-256gb
iPhone Air 256G,Viettel,,,,,23290000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:27:58,https://viettelstore.vn/dien-thoai/iphone-air-pid355092.html
iPhone Air 256G,FPT,25890000,25890000,25890000,25890000,22990000,25890000,0,,fpt_structured_offer_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:27:59,https://fptshop.com.vn/dien-thoai/iphone-air
iPhone Air 256G,MW,22990000,22990000,22990000,,22990000,22990000,0,,mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:00,https://www.thegioididong.com/dtdd/iphone-air
iPhone Air 256G,CPS,22990000,22990000,22990000,,22990000,22990000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:02,https://cellphones.com.vn/iphone-air-256gb.html
iPhone Air 256G,Shopdunk,22890000,22890000,22890000,,22890000,22890000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:28:03,https://shopdunk.com/dien-thoai-iphone-air-256gb
iPhone 17 Pro 256GB,Viettel,,,,,30790000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:04,https://viettelstore.vn/dien-thoai/iphone-17-pro-pid355082.html
iPhone 17 Pro 256GB,FPT,31790000,31790000,31790000,31790000,31790000,31790000,0,,fpt_structured_offer_price,,,,,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:28:05,https://fptshop.com.vn/dien-thoai/iphone-17-pro
iPhone 17 Pro 256GB,MW,31990000,31990000,31990000,,31990000,34990000,3000000,"Giảm giá 3,000,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:06,https://www.thegioididong.com/dtdd/iphone-17-pro
iPhone 17 Pro 256GB,CPS,31790000,31790000,31790000,,31790000,31790000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:08,https://cellphones.com.vn/iphone-17-pro.html
iPhone 17 Pro 256GB,Shopdunk,31490000,31490000,31490000,,31290000,31490000,0,,shopdunk_price_value,,,,WARN_WEEK_CHANGE,HTML_OK,trusted Shopdunk product price; browser back-check unavailable,OK,,2026-09-10T15:28:10,https://shopdunk.com/dien-thoai-iphone-17-pro-256gb
iPhone 17 Pro Max 256GB,Viettel,,,,,33490000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:10,https://viettelstore.vn/dien-thoai/iphone-17-pro-max-pid355086.html
iPhone 17 Pro Max 256GB,FPT,34590000,34590000,34590000,34590000,34590000,34590000,0,,fpt_structured_offer_price,,,,,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:28:12,https://fptshop.com.vn/dien-thoai/iphone-17-pro-max-256gb
iPhone 17 Pro Max 256GB,MW,34590000,34590000,34590000,,34590000,37990000,3400000,"Giảm giá 3,400,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:13,https://www.thegioididong.com/dtdd/iphone-17-pro-max
iPhone 17 Pro Max 256GB,CPS,34590000,34590000,34590000,,34590000,34590000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:15,https://cellphones.com.vn/iphone-17-pro-max.html
iPhone 17 Pro Max 256GB,Shopdunk,33490000,33490000,33490000,,33990000,33490000,0,,shopdunk_price_value,,,,WARN_WEEK_CHANGE,HTML_OK,trusted Shopdunk product price; browser back-check unavailable,OK,,2026-09-10T15:28:16,https://shopdunk.com/dien-thoai-iphone-17-pro-max-256gb
iPhone 16e  128GB,Viettel,,,,,13490000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:16,https://viettelstore.vn/dien-thoai/iphone-16e-pid347205.html
iPhone 16e  128GB,FPT,OOS,OOS,18890000,16490000,14990000,OOS,0,,fpt_variant_price,OOS,rendered_price_context,iphone 16 series video noi bat +3 mo hop thuc te hang chinh hang - bao hanh 12 thang mien phi giao hang toan quoc (*) ky thuat vien ho tro truc tuyen hang chinh hang - bao hanh 12 thang mien phi giao hang toan quoc (*) ky thuat vien ho tro truc tuyen thong ...,WARN_OUTLIER|WARN_RENDER_STOCK_CONFIRMED|WARN_WEEK_CHANGE,VERIFIED_OOS,render confirmed OOS via rendered_price_context,OOS,,2026-09-10T15:28:18,https://fptshop.com.vn/dien-thoai/iphone-16e
iPhone 16e  128GB,MW,OOS,OOS,,16990000,OOS,OOS,0,,product_status_element,OOS,rendered_dom:.box04.notselling .productstatus,Hàng sắp về,WARN_RENDER_STOCK_CONFIRMED,VERIFIED_OOS,render confirmed OOS via rendered_dom:.box04.notselling .productstatus,OOS,,2026-09-10T15:28:19,https://www.thegioididong.com/dtdd/iphone-16e
iPhone 16e  128GB,CPS,13690000,13690000,13690000,,13690000,13690000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:21,https://cellphones.com.vn/iphone-16e.html
iPhone 16 128GB,Viettel,,,,,20490000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:22,https://viettelstore.vn/dien-thoai/iphone-16-128gb-pid339614.html
iPhone 16 128GB,FPT,20790000,20790000,20790000,20790000,20790000,20790000,0,,fpt_structured_offer_price,,,,,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:28:23,https://fptshop.com.vn/dien-thoai/iphone-16
iPhone 16 128GB,MW,20990000,20990000,20990000,,20990000,21990000,1000000,"Giảm giá 1,000,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:24,https://www.thegioididong.com/dtdd/iphone-16
iPhone 16 128GB,CPS,24490000,24490000,24490000,24490000,20790000,24490000,0,,cps_sale_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_dom:.sale-price,OK,,2026-09-10T15:28:26,https://cellphones.com.vn/iphone-16.html
iPhone 16 128GB,Shopdunk,20790000,20790000,20790000,,20790000,20790000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:28:28,https://shopdunk.com/iphone-16
iPhone 16  Plus 128GB,Viettel,,,,,24790000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:28,https://viettelstore.vn/dien-thoai/iphone-16-plus-pid339618.html
iPhone 16  Plus 128GB,FPT,24790000,24790000,24790000,24790000,24790000,24790000,0,,fpt_structured_offer_price,,,,,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:28:30,https://fptshop.com.vn/dien-thoai/iphone-16-plus
iPhone 16  Plus 128GB,MW,24990000,24990000,24990000,,24990000,25990000,1000000,"Giảm giá 1,000,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:31,https://www.thegioididong.com/dtdd/iphone-16-plus
iPhone 16  Plus 128GB,CPS,24790000,24790000,24790000,,24790000,24790000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:33,https://cellphones.com.vn/iphone-16-plus.html
iPhone 16  Plus 128GB,Shopdunk,24790000,24790000,24790000,,24790000,24790000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:28:34,https://shopdunk.com/iphone-16-plus
iPhone 15  128GB,Viettel,,,,,17790000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:34,https://viettelstore.vn/dien-thoai/iphone-15-128gb-pid317053.html
iPhone 15  128GB,FPT,21790000,21790000,21790000,21790000,18790000,21790000,0,,fpt_structured_offer_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:28:36,https://fptshop.com.vn/dien-thoai/iphone-15
iPhone 15  128GB,MW,18990000,18990000,18990000,,18990000,18990000,0,,mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:37,https://www.thegioididong.com/dtdd/iphone-15
iPhone 15  128GB,CPS,21790000,21790000,21790000,21790000,18790000,21790000,0,,cps_sale_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_dom:.sale-price,OK,,2026-09-10T15:28:39,https://cellphones.com.vn/iphone-15.html
iPhone 15  128GB,Shopdunk,17990000,17990000,17990000,,17990000,17990000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:28:41,https://shopdunk.com/iphone-15-128gb
iPhone 15  Plus 128GB,MW,OOS,OOS,,16820000,OOS,OOS,0,,product_status_element,OOS,rendered_dom:.box04.notselling .productstatus,SẢN PHẨM Ngừng kinh doanh,WARN_RENDER_STOCK_CONFIRMED,VERIFIED_OOS,render confirmed OOS via rendered_dom:.box04.notselling .productstatus,OOS,,2026-09-10T15:28:42,https://www.thegioididong.com/dtdd/iphone-15-plus
iPhone 14 128GB,Viettel,,,,,OOS,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:43,https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html
